character_name,count,variant_1,variant_2,variant_3,variant_4,variant_5
姜子牙,2151,子牙,姜尚,吕尚,太公望,姜太公
楊戩,689,杨戬,二郎,二郎神,,
黃飛虎,541,黄飞虎,武成王,,,
聞太師,382,闻太师,闻仲,,,
武王,362,周武王,姬发,,,
雷震子,244,,,,,
李靖,239,,,,,
殷郊,230,,,,,
殷洪,185,,,,,
姜桓楚,177,,,,,
鄧九公,177,邓九公,,,,
姬昌,173,,,,,
張奎,155,,,,,
呂岳,144,,,,,
金光聖母,143,,,,,
黃天化,142,黄天化,,,,
蘇護,141,苏護,,,,
袁洪,139,,,,,
廣成子,130,,,,,
張桂芳,122,,,,,
韓榮,119,韩榮,,,,
申公豹,105,,,,,
洪錦,101,,,,,
武吉,100,,,,,
鄭倫,96,,,,,
侯虎,93,,,,,
孔宣,92,,,,,
楊任,89,杨任,,,,
鄧嬋玉,83,邓嬋玉,,,,
晁田,83,,,,,
雲霄,74,,,,,
費仲,71,,,,,
黃天祥,67,黄天祥,,,,
蘇全忠,67,苏全忠,,,,
高明,66,,,,,
黃明,65,黄明,,,,
黃貴妃,63,黄貴妃,,,,
方弼,61,,,,,
陳奇,59,,,,,
韋護,59,,,,,
太鸞,57,,,,,
鄂崇禹,55,,,,,
晁雷,54,,,,,
卞吉,53,,,,,
張山,52,,,,,
宜生,49,,,,,
許之,49,,,,,
徐芳,47,,,,,
丘引,47,,,,,
龍吉,46,,,,,
文殊廣法天尊,45,,,,,
敖光,44,,,,,
歐陽淳,43,欧陽淳,,,,
靈聖母,43,,,,,
玉鼎真人,41,,,,,
黃龍,40,黄龍,,,,
道德真君,39,,,,,
胡升,37,,,,,
竇榮,37,,,,,
魯仁傑,36,,,,,
尤渾,35,,,,,
伯邑考,35,,,,,
姚斌,34,,,,,
徐蓋,34,,,,,
馬善,34,,,,,
王魔,34,,,,,
魏賁,33,,,,,
姜王后,33,,,,,
陳桐,33,,,,,
吳龍,33,,,,,
余化龍,31,,,,,
普賢真人,31,,,,,
鄧忠,30,邓忠,,,,
魯雄,30,,,,,
張紹,29,,,,,
鄧昆,29,邓昆,,,,
高蘭英,29,,,,,
常昊,27,,,,,
胡雷,27,,,,,
黃天祿,27,黄天祿,,,,
柏鑑,27,,,,,
碧霄,27,,,,,
梅伯,27,,,,,
烏雲仙,26,,,,,
劉乾,26,,,,,
瓊霄,24,,,,,
姜環,24,,,,,
辛環,23,,,,,
馬元,22,,,,,
余德,22,,,,,
南宮适,21,,,,,
李興霸,20,,,,,
鴻鈞,20,,,,,
安康,20,,,,,
王豹,20,,,,,
張鳳,20,,,,,
賀畢,20,,,,,
周公旦,20,,,,,
雷開,19,,,,,
應彪,19,,,,,
